iter	Passed	Remaining
853	1485	253
854	1486	252
855	1487	250
856	1489	248
857	1490	246
858	1491	244
859	1492	243
860	1494	241
861	1495	239
862	1497	237
863	1498	235
864	1499	234
865	1500	232
866	1502	230
867	1503	228
868	1504	226
869	1506	225
870	1507	223
871	1508	221
872	1510	219
873	1511	217
874	1512	216
875	1513	214
876	1515	212
877	1516	210
878	1518	208
879	1519	207
880	1520	205
881	1522	203
882	1523	201
883	1525	200
884	1526	198
885	1527	196
886	1529	194
887	1530	193
888	1532	191
889	1533	189
890	1535	187
891	1536	186
892	1538	184
893	1539	182
894	1541	180
895	1542	179
896	1544	177
897	1545	175
898	1547	173
899	1548	172
900	1549	170
901	1551	168
902	1552	166
903	1554	165
904	1556	163
905	1557	161
906	1559	159
907	1560	158
908	1562	156
909	1563	154
910	1565	152
911	1566	151
912	1568	149
913	1569	147
914	1571	145
915	1572	144
916	1573	142
917	1575	140
918	1576	138
919	1578	137
920	1579	135
921	1581	133
922	1582	132
923	1584	130
924	1585	128
925	1586	126
926	1588	125
927	1589	123
928	1591	121
929	1592	119
930	1594	118
931	1595	116
932	1597	114
933	1598	112
934	1600	111
935	1601	109
936	1602	107
937	1604	106
938	1606	104
939	1607	102
940	1609	100
941	1610	99
942	1612	97
943	1613	95
944	1615	94
945	1616	92
946	1617	90
947	1619	88
948	1621	87
949	1622	85
950	1624	83
951	1625	81
952	1627	80
953	1628	78
954	1629	76
955	1631	75
956	1633	73
957	1634	71
958	1635	69
959	1637	68
960	1639	66
961	1640	64
962	1641	63
963	1643	61
964	1644	59
965	1646	57
966	1649	56
967	1652	54
968	1654	52
969	1656	51
970	1658	49
971	1659	47
972	1661	46
973	1662	44
974	1664	42
975	1665	40
976	1667	39
977	1668	37
978	1670	35
979	1672	34
980	1673	32
981	1674	30
982	1676	28
983	1677	27
984	1679	25
985	1680	23
986	1682	22
987	1684	20
988	1685	18
989	1687	17
990	1688	15
991	1689	13
992	1691	11
993	1692	10
994	1693	8
995	1695	6
996	1696	5
997	1697	3
998	1699	1
999	1700	0
